year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2018,MOZ,exkill,4.5788074,.44565135,4.0083737,5.149241
2019,MOZ,exkill,4.2264724,.68562555,3.3488717,5.104073
2018,NCL,exkill,7.6469746,.64930367,6.815866,8.4780836
2019,NCL,exkill,7.6553636,.648224,6.8256369,8.4850903
2018,NIU,exkill,7.7399774,.5227353,7.0708761,8.4090786
2019,NIU,exkill,7.7224669,.52048403,7.0562472,8.3886862
2018,MNP,exkill,7.5993671,.92641288,6.4135585,8.7851753
2019,MNP,exkill,7.6117921,.99012947,6.3444262,8.879158
2017,NPL,exkill,6.3149395,1.0065763,5.0265217,7.6033573
2018,NPL,exkill,5.6604004,.45673975,5.0757737,6.2450271
2019,NPL,exkill,4.546689,.41695434,4.0129876,5.0803905
2018,NRU,exkill,6.2838273,1.1075968,4.8661036,7.701551
2019,NRU,exkill,6.2682838,1.0986887,4.8619623,7.6746054
2017,NZL,exkill,7.3546576,.26813012,7.0114512,7.6978641
2018,NZL,exkill,7.193439,.20261806,6.9340878,7.4527903
2019,NZL,exkill,7.1001239,.26737374,6.7578855,7.4423623
2018,PNG,exkill,5.2462401,.51877487,4.5822082,5.9102721
2019,PNG,exkill,5.2371864,.52481508,4.565423,5.9089499
2017,SAU,exkill,4.619698,1.2038749,3.0787382,6.1606579
2018,SAU,exkill,3.6557965,.66757208,2.8013043,4.5102887
2019,SAU,exkill,4.1478996,.77133197,3.1605947,5.1352043
2018,SLB,exkill,7.5867805,.86995995,6.4732318,8.7003288
2019,SLB,exkill,7.5692091,.87905192,6.4440227,8.694396
2018,TON,exkill,7.1416779,.94459516,5.9325962,8.3507595
2019,TON,exkill,7.0470328,.95953929,5.8188224,8.2752428
2017,USA,exkill,3.8418262,.69047087,2.9580235,4.7256289
2018,USA,exkill,3.8386643,.36035785,3.3774064,4.2999225
2019,USA,exkill,3.9891062,.42525676,3.4447775,4.5334349
2017,VEN,exkill,4.206521,.80844343,3.1717134,5.2413287
2018,VEN,exkill,2.5460486,.51631767,1.885162,3.2069352
2019,VEN,exkill,1.4873327,.44089627,.92298549,2.0516798
2017,VNM,exkill,5.2284145,.51082653,4.5745564,5.8822727
2018,VNM,exkill,4.9087024,.4004871,4.3960791,5.4213257
2019,VNM,exkill,4.6263762,.58877146,3.8727486,5.3800035
2018,VUT,exkill,8.1540537,1.218724,6.5940871,9.7140207
2019,VUT,exkill,7.2798519,1.7092805,5.0919728,9.4677305
2018,WSM,exkill,7.9344802,1.0039617,6.6494093,9.2195511
2019,WSM,exkill,7.9689474,.9665392,6.7317772,9.2061176
2017,AGO,arrest,2.4910326,.50543123,1.8440806,3.1379845
2018,AGO,arrest,3.6441169,.40302491,3.1282449,4.1599889
2019,AGO,arrest,4.0226641,.65390891,3.1856606,4.8596673
2018,ASM,arrest,8.6825094,1.3608392,6.9406352,10.424384
2019,ASM,arrest,8.714839,1.3227081,7.0217724,10.407906
2017,AUS,arrest,5.3289857,.49462214,4.6958694,5.9621019
2018,AUS,arrest,5.3089905,.32160309,4.8973384,5.7206426
2019,AUS,arrest,5.0927229,.43950403,4.5301576,5.6552882
2017,BRA,arrest,3.7349806,.47800651,3.1231322,4.3468289
2018,BRA,arrest,3.2508597,.35040829,2.8023372,3.6993823
2019,BRA,arrest,2.231941,.48991114,1.6048547,2.8590271
2017,COD,arrest,1.5127962,1.0093027,.22088866,2.8047037
2018,COD,arrest,1.5651283,.49799433,.92769557,2.2025611
2019,COD,arrest,2.7340651,.65208244,1.8993995,3.5687306
2018,COK,arrest,7.9226131,.80668831,6.8900523,8.9551744
2019,COK,arrest,7.966054,.78966159,6.955287,8.9768209
2017,FJI,arrest,4.458878,.66470373,3.6080573,5.3096986
2018,FJI,arrest,4.8988237,.38163981,4.4103246,5.3873229
2019,FJI,arrest,5.3826971,.51274902,4.7263784,6.0390158
2017,GBR,arrest,6.749404,.4356899,6.191721,7.3070869
2018,GBR,arrest,6.5518222,.28636459,6.1852756,6.9183688
2019,GBR,arrest,5.9432707,.46082133,5.3534193,6.5331221
2018,GUM,arrest,7.2095809,.54260629,6.5150447,7.9041171
2019,GUM,arrest,7.2102723,.54278642,6.5155058,7.9050388
2017,JOR,arrest,4.4915619,.93621832,3.2932024,5.6899214
2018,JOR,arrest,3.5408213,.43765965,2.980617,4.1010256
2019,JOR,arrest,2.7324014,.60435998,1.9588206,3.5059822
2017,KAZ,arrest,3.0051625,.53239214,2.3237004,3.6866245
2018,KAZ,arrest,3.2015102,.3506715,2.7526507,3.6503696
2019,KAZ,arrest,1.8673166,.43582338,1.3094627,2.4251704
2017,KGZ,arrest,4.5261259,.57045931,3.795938,5.2563138
2018,KGZ,arrest,5.0784535,.43052208,4.5273852,5.6295218
2019,KGZ,arrest,4.4267368,.71763837,3.5081596,5.345314
2017,KOR,arrest,6.4906106,.60605317,5.7148623,7.2663589
2018,KOR,arrest,6.3747501,.42477068,5.8310437,6.9184566
2019,KOR,arrest,5.7450972,.60805064,4.9667921,6.5234022
2017,LBR,arrest,4.9307718,.80932647,3.894834,5.9667096
2018,LBR,arrest,5.1985569,.60363048,4.42591,5.9712038
2019,LBR,arrest,2.7996497,1.0880468,1.4069499,4.1923494
2017,MEX,arrest,2.100929,.49278501,1.4701642,2.7316937
2018,MEX,arrest,2.2022796,.40286529,1.686612,2.7179472
2019,MEX,arrest,2.9768374,.76951343,1.9918602,3.9618146
2017,MOZ,arrest,3.9499385,.69392812,3.0617106,4.8381667
2018,MOZ,arrest,3.809448,.45608154,3.2256637,4.3932323
2019,MOZ,arrest,2.7753198,.92632043,1.5896297,3.96101
2018,NCL,arrest,7.3257952,.57024485,6.5958819,8.0557089
2019,NCL,arrest,7.2922411,.56125665,6.5738325,8.0106497
2018,NIU,arrest,7.687057,1.7446101,5.4539561,9.9201584
2019,NIU,arrest,7.5930543,1.7482257,5.3553252,9.8307829
2018,MNP,arrest,7.9511142,.83531082,6.8819165,9.0203123
2019,MNP,arrest,7.9501634,.82612664,6.8927212,9.0076056
2017,NPL,arrest,5.2673116,1.0230765,3.9577737,6.5768495
2018,NPL,arrest,4.8614831,.39635909,4.3541436,5.3688226
2019,NPL,arrest,4.1313739,.36178705,3.6682866,4.5944614
2018,NRU,arrest,2.7141585,1.35063,.9853521,4.442965
2019,NRU,arrest,3.1340601,1.5613976,1.1354712,5.1326489
2017,NZL,arrest,7.1351233,.36265227,6.6709285,7.599318
2018,NZL,arrest,6.6417012,.2537806,6.3168621,6.9665403
2019,NZL,arrest,6.0889635,.33327916,5.6623664,6.5155606
2018,PNG,arrest,5.4102335,.72907394,4.4770188,6.3434482
2019,PNG,arrest,5.8237772,.62401432,5.0250387,6.6225157
2017,SAU,arrest,2.1884718,1.0627391,.82816571,3.5487778
2018,SAU,arrest,1.1723734,.58069313,.42908621,1.9156606
2019,SAU,arrest,1.3014086,.69596273,.41057634,2.192241
2018,SLB,arrest,6.4775658,1.1130707,5.0528355,7.9022961
2019,SLB,arrest,4.8017569,1.3817415,3.0331278,6.5703859
2018,TON,arrest,5.8881621,1.2014484,4.3503079,7.4260163
2019,TON,arrest,6.297493,1.1362706,4.8430667,7.7519193
2017,USA,arrest,3.8246701,.62376201,3.0262547,4.6230855
2018,USA,arrest,3.7305188,.40573239,3.2111814,4.2498565
2019,USA,arrest,4.1213756,.50430012,3.4758713,4.7668796
2017,VEN,arrest,1.8425255,.58864111,1.0890648,2.5959861
2018,VEN,arrest,1.7381502,.46075037,1.1483898,2.3279107
2019,VEN,arrest,.9995507,.68494672,.1228189,1.8762825
2017,VNM,arrest,2.7055171,.31820196,2.2982185,3.1128156
2018,VNM,arrest,2.1066921,.3164818,1.7015954,2.5117888
2019,VNM,arrest,2.0269535,.39744443,1.5182246,2.5356824
2018,WSM,arrest,4.9449849,1.8580182,2.5667217,7.3232484
2019,WSM,arrest,6.4885764,1.4901024,4.5812454,8.3959074
2017,AGO,tort,2.030093,.51670235,1.368714,2.6914721
2018,AGO,tort,3.1367912,.40345719,2.6203661,3.6532164
2019,AGO,tort,3.2881014,.54300225,2.5930586,3.9831443
2018,ASM,tort,4.9972191,1.0030696,3.71329,6.2811484
2019,ASM,tort,5.0070615,1.026286,3.6934154,6.3207078
2017,AUS,tort,4.9156785,.5090434,4.2641029,5.5672541
2018,AUS,tort,4.6697078,.31153071,4.2709484,5.0684671
2019,AUS,tort,4.4050303,.37917557,3.9196856,4.8903751
2017,BRA,tort,1.9840965,.55718923,1.2708943,2.6972988
2018,BRA,tort,2.2962043,.26626304,1.9553876,2.6370211
2019,BRA,tort,2.1544497,.25789809,1.8243401,2.4845593
2017,COD,tort,1.3702718,.7384932,.42500049,2.3155432
2018,COD,tort,2.4773686,.33470389,2.0489476,2.9057896
2019,COD,tort,3.6063466,.38157347,3.1179326,4.0947604
2018,COK,tort,6.5903354,.8296814,5.5283432,7.6523275
2019,COK,tort,6.3081026,.88594157,5.1740975,7.4421077
2017,FJI,tort,3.6770062,.51711333,3.0151012,4.3389115
2018,FJI,tort,4.2450237,.31112921,3.8467784,4.6432691
2019,FJI,tort,5.1974339,.38434994,4.7054658,5.6894021
2018,FSM,tort,3.1576998,1.5439252,1.1814756,5.133924
2019,FSM,tort,3.8509254,1.3926781,2.0682974,5.6335535
2017,GBR,tort,6.2518783,.49655607,5.6162863,6.8874702
2018,GBR,tort,5.8827987,.35336918,5.4304862,6.3351111
2019,GBR,tort,5.6523223,.52740908,4.9772387,6.3274059
2018,GUM,tort,6.4327574,.5149048,5.7736793,7.0918355
2019,GUM,tort,6.443233,.52274632,5.7741179,7.1123481
2017,JOR,tort,4.2509079,.74775982,3.2937753,5.2080402
2018,JOR,tort,5.041678,.441623,4.4764004,5.6069555
2019,JOR,tort,5.6878433,.4006612,5.1749969,6.2006898
2017,KAZ,tort,3.3002422,.40199926,2.7856832,3.8148012
2018,KAZ,tort,3.091629,.22924674,2.7981932,3.3850648
2019,KAZ,tort,2.828064,.27816856,2.4720082,3.1841197
2017,KGZ,tort,3.3963168,.36359894,2.9309101,3.8617234
2018,KGZ,tort,3.9066789,.32615626,3.4891989,4.3241591
2019,KGZ,tort,4.3825812,.56914693,3.6540732,5.1110892
2017,KOR,tort,6.9632316,.52114946,6.2961602,7.6303029
2018,KOR,tort,6.6223145,.3738642,6.1437683,7.1008606
2019,KOR,tort,5.7305036,.51046073,5.0771136,6.3838935
2017,LBR,tort,3.9754233,.88293982,2.8452604,5.1055865
2018,LBR,tort,5.2914281,.46327278,4.6984391,5.8844171
2019,LBR,tort,4.9582639,.64174575,4.1368294,5.7796984
2017,MEX,tort,1.6645987,.45381314,1.0837179,2.2454796
2018,MEX,tort,1.8614298,.29638496,1.4820571,2.2408025
2019,MEX,tort,2.4579816,.43710664,1.8984851,3.017478
2018,MHL,tort,4.3286824,1.8357161,1.9789658,6.6783991
